"";"ano_cod";"ano_desc";"regiao_cod";"regiao_desc";"cultura_cod";"cultura_desc";"cultura";"Área colhida";"Área destinada à colheita";"Área plantada";"Quantidade produzida";"Rendimento médio da produção";"Valor da produção"
"84";1990;1990;2;"Nordeste";2705;"Linho (semente)";"temporária";NA;NA;NA;NA;NA;NA
"85";1990;1990;2;"Nordeste";2706;"Malva (fibra)";"temporária";5140;NA;5140;4100;797;102998
"86";1990;1990;2;"Nordeste";2707;"Mamona (baga)";"temporária";267581;NA;274566;123428;461;1927650
"87";1990;1990;2;"Nordeste";2708;"Mandioca";"temporária";1108617;NA;1132225;11832690;10673;50650704
"88";1990;1990;2;"Nordeste";2709;"Melancia";"temporária";36092;NA;36660;53152;1472;1284547
"89";1990;1990;2;"Nordeste";2710;"Melão";"temporária";5353;NA;5368;50162;9370;1676166
"90";1990;1990;2;"Nordeste";2711;"Milho (em grão)";"temporária";2139037;NA;2662580;648582;303;9957018
"91";1990;1990;2;"Nordeste";2712;"Rami (fibra)";"temporária";NA;NA;NA;NA;NA;NA
"92";1990;1990;2;"Nordeste";2713;"Soja (em grão)";"temporária";376814;NA;376889;225502;598;2600021
"93";1990;1990;2;"Nordeste";2714;"Sorgo (em grão)";"temporária";16849;NA;18393;11107;659;105920
"94";1990;1990;2;"Nordeste";2715;"Tomate";"temporária";21626;NA;22136;631684;29209;8578546
"95";1990;1990;2;"Nordeste";2716;"Trigo (em grão)";"temporária";NA;NA;NA;NA;NA;NA
"96";1990;1990;2;"Nordeste";2717;"Abacate";"permanente";1986;2091;NA;53043;26708;387401
"97";1990;1990;2;"Nordeste";2718;"Algodão arbóreo (em caroço)";"permanente";511709;554281;NA;38234;74;1426166
"98";1990;1990;2;"Nordeste";2719;"Azeitona";"permanente";NA;NA;NA;NA;NA;NA
"99";1990;1990;2;"Nordeste";2720;"Banana (cacho)";"permanente";187096;189698;NA;216309;1156;15055361
"100";1990;1990;2;"Nordeste";2721;"Borracha (látex coagulado)";"permanente";13593;13593;NA;8780;645;652602
"101";1990;1990;2;"Nordeste";2722;"Cacau (em amêndoa)";"permanente";548538;549538;NA;298060;543;21188308
"102";1990;1990;2;"Nordeste";2723;"Café (em grão) Total";"permanente";160635;161215;NA;127274;792;5855980
"103";1990;1990;2;"Nordeste";2724;"Caqui";"permanente";12;12;NA;817;68083;4085
"104";1990;1990;2;"Nordeste";2725;"Castanha de caju";"permanente";573794;585343;NA;106674;185;4830116
"105";1990;1990;2;"Nordeste";2726;"Chá-da-índia (folha verde)";"permanente";NA;NA;NA;NA;NA;NA
"106";1990;1990;2;"Nordeste";2727;"Coco-da-baía";"permanente";198006;199746;NA;619698;3129;7055675
"107";1990;1990;2;"Nordeste";2728;"Dendê (cacho de coco)";"permanente";38271;38271;NA;161227;4212;572300
"108";1990;1990;2;"Nordeste";2729;"Erva-mate (folha verde)";"permanente";NA;NA;NA;NA;NA;NA
"109";1990;1990;2;"Nordeste";2730;"Figo";"permanente";15;15;NA;825;55000;587
"110";1990;1990;2;"Nordeste";2731;"Goiaba";"permanente";3634;3802;NA;634356;174561;416563
"111";1990;1990;2;"Nordeste";2732;"Guaraná (semente)";"permanente";1461;1461;NA;757;518;56275
"112";1990;1990;2;"Nordeste";2733;"Laranja";"permanente";73789;73948;NA;6628820;89834;15879783
"113";1990;1990;2;"Nordeste";2734;"Limão";"permanente";2292;2309;NA;315917;137834;382527
"114";1990;1990;2;"Nordeste";2735;"Maçã";"permanente";NA;NA;NA;NA;NA;NA
"115";1990;1990;2;"Nordeste";2736;"Mamão";"permanente";8838;8849;NA;267367;30251;4267241
"116";1990;1990;2;"Nordeste";2737;"Manga";"permanente";16977;17122;NA;834966;49182;2624970
"117";1990;1990;2;"Nordeste";2738;"Maracujá";"permanente";14163;14253;NA;1009589;71283;3009904
"118";1990;1990;2;"Nordeste";2739;"Marmelo";"permanente";20;20;NA;461;23050;2095
"119";1990;1990;2;"Nordeste";2740;"Noz (fruto seco)";"permanente";NA;NA;NA;NA;NA;NA
"120";1990;1990;2;"Nordeste";2741;"Pera";"permanente";NA;NA;NA;NA;NA;NA
"121";1990;1990;2;"Nordeste";2742;"Pêssego";"permanente";15;15;NA;442;29466;1326
"122";1990;1990;2;"Nordeste";2743;"Pimenta-do-reino";"permanente";1072;1072;NA;1756;1638;195789
"123";1990;1990;2;"Nordeste";2744;"Sisal ou agave (fibra)";"permanente";249109;267136;NA;185156;743;2388971
"124";1990;1990;2;"Nordeste";2745;"Tangerina";"permanente";2656;2704;NA;321229;120944;1202577
"125";1990;1990;2;"Nordeste";2746;"Tungue (fruto seco)";"permanente";NA;NA;NA;NA;NA;NA
"126";1990;1990;2;"Nordeste";2747;"Urucum (semente)";"permanente";3089;3326;NA;1756;568;51578
"127";1990;1990;2;"Nordeste";2748;"Uva";"permanente";1759;1759;NA;29670;16867;3840300
"128";1990;1990;2;"Nordeste";31619;"Café (em grão) Arábica";"permanente";NA;NA;NA;NA;NA;NA
"129";1990;1990;2;"Nordeste";31620;"Café (em grão) Canephora";"permanente";NA;NA;NA;NA;NA;NA
"130";1990;1990;2;"Nordeste";90001;"Palmito";"permanente";NA;NA;NA;NA;NA;NA
"131";1990;1990;2;"Nordeste";109179;"Girassol (em grão)";"temporária";NA;NA;NA;NA;NA;NA
"132";1990;1990;2;"Nordeste";109180;"Triticale (em grão)";"temporária";NA;NA;NA;NA;NA;NA
"133";1990;1990;3;"Sudeste";2688;"Abacaxi";"temporária";12754;NA;12833;250464;19638;7518665
"134";1990;1990;3;"Sudeste";2689;"Algodão herbáceo (em caroço)";"temporária";430699;NA;430931;574572;1334;14047535
"135";1990;1990;3;"Sudeste";2690;"Alho";"temporária";5331;NA;5677;23621;4430;3861325
"136";1990;1990;3;"Sudeste";2691;"Amendoim (em casca)";"temporária";69722;NA;69722;122281;1753;2588950
"137";1990;1990;3;"Sudeste";2692;"Arroz (em casca)";"temporária";693508;NA;720374;1029603;1484;14588019
"138";1990;1990;3;"Sudeste";2693;"Aveia (em grão)";"temporária";NA;NA;NA;NA;NA;NA
"139";1990;1990;3;"Sudeste";2694;"Batata-doce";"temporária";6071;NA;6298;76875;12662;1297294
"140";1990;1990;3;"Sudeste";2695;"Batata-inglesa";"temporária";54443;NA;54825;1053967;19359;22479526
"141";1990;1990;3;"Sudeste";2696;"Cana-de-açúcar";"temporária";2357091;NA;2363708;162444052;68917;178913957
"142";1990;1990;3;"Sudeste";2697;"Cebola";"temporária";16537;NA;16551;281902;17046;10494531
"143";1990;1990;3;"Sudeste";2698;"Centeio (em grão)";"temporária";NA;NA;NA;NA;NA;NA
